Establishment,Host,Neighbourhood,Latitude,Longitude,Room Type,Price,Duration,Total Reviews
London 5 ***** with Free Self Service Breakfast,Rafik And Evelin,Redbridge,51.56872,0.0654,Private room,55,2,131
1 Bed Notting Hill during Olympics,Haroun,Kensington and Chelsea,51.50926,-0.19391,Private room,100,7,0
"Double Bedroom+En-suite,  spacious and light",Vilma,Wandsworth,51.47979,-0.16663,Private room,65,2,316
"Room in lovely flat, South London",Karen,Bromley,51.42472,-0.06416,Private room,35,1,11
OLYMPICS FLAT - AMAZING LOCATION!,Mitul,Newham,51.53296,-0.00849,Entire home/apt,275,7,0
Olympic let. Perferct Location in h,Daniel,Newham,51.55024,-0.00286,Entire home/apt,333,14,0
Shoreditch loft,Julia & Adam,Hackney,51.52488,-0.08133,Entire home/apt,162,14,12
Double room in Chingford,Isaac,Waltham Forest,51.61677,-0.03037,Private room,30,21,0
ensuit with huge living room,Bonnie,Croydon,51.32384,-0.13636,Private room,100,1,0
Large double room for Olympics,Rakesh,Greenwich,51.4783,0.08512,Private room,50,7,0
Double Room close toOlympic Stadium,Vasile Razvan,Waltham Forest,51.56565,0.01547,Private room,50,1,0
Great Olympic Room in Leytonstone *,Marin,Waltham Forest,51.56066,0.00748,Private room,135,1,0
"Micks Mansion - central, connected, and quiet!",Mick,Tower Hamlets,51.51659,-0.06498,Private room,75,150,296
Luxury Apartment Close To Big Ben,Tommaso,Westminster,51.49923,-0.12972,Entire home/apt,300,2,26
"RoofTerrace dble rm,StratfordCentre",Kathryn,Newham,51.54349,0.00798,Private room,40,1,3
Cosy accommodation in Kensington London,Claudia,Kensington and Chelsea,51.49735,-0.19623,Entire home/apt,75,7,55
Large bedroom in big flat-Bayswater,Vidur,Westminster,51.51602,-0.18835,Private room,48,1,156
Best Apartment in Kensington !,Mike,Kensington and Chelsea,51.49276,-0.20001,Private room,102,3,66
LOVELY DOUBLE BEDROOM AVAILABLE,Federica,Kensington and Chelsea,51.50804,-0.19356,Private room,220,1,0
The wicked room for the sweet females.,Kazuyo,Richmond upon Thames,51.45242,-0.37098,Private room,25,2,7
Room for 2 during Olympics,Rakesh,Greenwich,51.47792,0.08376,Private room,80,7,0
Awesome Shoreditch 1 Bed!,Gaby,Hackney,51.5292,-0.08078,Entire home/apt,108,7,309
ILFORD - 2 DR (1 private bathr + 1 en-suite bathr),Veronique,Redbridge,51.56097,0.07602,Entire home/apt,48,25,9
Self-contained studio appartment with private bath,Liz,Camden,51.55881,-0.14118,Private room,49,7,148
Comfy Double Room Near Underground,Faisal,Waltham Forest,51.55896,-0.01121,Private room,55,1,6
Cosy Single Near the Underground,Faisal,Waltham Forest,51.55939,-0.00896,Private room,50,1,8
Gorgeous little flat in Notting Hill London,Frances,Westminster,51.51806,-0.19851,Entire home/apt,80,4,171
BrixtonTwin-Bed w/Private bh/room,Gonul,Lambeth,51.45908,-0.12156,Private room,50,3,67
Walk to 8 events - Greenwich room,Claire,Greenwich,51.47497,0.02577,Private room,113,1,0
Walk to 8 events - Greenwich room,Claire,Greenwich,51.47417,0.02622,Private room,113,1,0
Walk to 8 events - Greenwich room,Claire,Greenwich,51.47465,0.02611,Private room,113,1,0
PARALYMPIC TOP FLOOR FLAT-STRATFORD,Jason,Newham,51.53462,-0.01038,Entire home/apt,250,21,0
A quiet gem-a double bedroom in two bed flat share,Karen,Islington,51.55925,-0.13275,Private room,30,1,19
Fantastic 1 bed flat near the Olympic Park!,Caroline,Hackney,51.54685,-0.03723,Entire home/apt,80,4,46
Late-Booking - Great Olympic Base,Andy,Haringey,51.60044,-0.06553,Entire home/apt,100,14,0
DOUBLE ROOM LONDON OLYMPIC AREA,Henry,Newham,51.51812,0.01857,Private room,80,1,0
Great flat facing Kensington Palace,Samuel,Kensington and Chelsea,51.4997,-0.18657,Entire home/apt,200,6,6
Stunning large room,Sam,Barnet,51.64933,-0.19822,Private room,90,1,0
Bright Nice ROOM Shoreditch Haggerston Avail AUG,AnnM,Hackney,51.53577,-0.07551,Private room,38,5,29
BOOK Bright Sunny ROOM Shoreditch Hoxton AVAILNOW,AnnM,Hackney,51.53645,-0.07761,Private room,35,5,49
Quiet single room with garden and house access,Jutta,Havering,51.57802,0.16687,Private room,18,2,43
Cosy Modern Twin Room in W. London,Eddie,Hammersmith and Fulham,51.49784,-0.24431,Private room,75,1,85
Luxury Family Room in West London,Eddie,Hammersmith and Fulham,51.49806,-0.24637,Private room,150,1,20
"Beautiful Apartment-Accommodates up to 6,Free WIFI",Reuven,Brent,51.54627,-0.22625,Private room,109,2,98
"Highgate Village, North London",Stan And Monica,Haringey,51.57264,-0.14046,Private room,45,7,44
Nice spacious room,Villi,Newham,51.52275,0.02541,Private room,20,7,16
"Huge, lovely flat in Zone 2 Brixton",Melanie,Lambeth,51.44886,-0.11083,Entire home/apt,60,3,8
Double Bed in Beautiful Development,Bob,Wandsworth,51.47145,-0.16431,Private room,50,2,3
hackney central gem,Chelsea,Hackney,51.55054,-0.05614,Private room,40,2,59
Fabulous 1bed Victorian Flat – Home away from Home,Christina,Greenwich,51.48033,0.06785,Entire home/apt,59,4,48
Perfectly Located Beautiful Ensuite Room & Gym,Binit,Islington,51.5504,-0.11394,Private room,70,1,47
Rent our  Our Room,Joelle,Newham,51.5327,0.0326,Private room,44,2,0
"Central London, Borough, SE1 London",Johnnie,Southwark,51.49819,-0.09551,Entire home/apt,197,7,49
room for rent in walthamstow,Cristina,Waltham Forest,51.58338,-0.01925,Private room,119,1,0
South Kensington Concierge Apartment,Francesco,Kensington and Chelsea,51.49537,-0.16947,Entire home/apt,220,60,45
Ensuite Room - Shoreditch / Dalston,Anant,Hackney,51.54139,-0.07079,Private room,98,2,0
Big room in heart of Camden Town,Shweta,Camden,51.53881,-0.14271,Private room,50,1,0
1 bedroom apartment in Notting Hill,Pavel,Westminster,51.5196,-0.198,Entire home/apt,199,2,2
Living in the heart of London,Tim,Westminster,51.51556,-0.16527,Private room,79,1,480
Bright and spacious doubleroom Hackney,Gabriela,Hackney,51.56149,-0.07174,Private room,32,4,33
GREENWICH APARTMENT OLYMPIC LET,Amanda,Lewisham,51.48065,-0.02831,Private room,140,7,0
Princess Elsham 2 bedroom apartment in Kensinton,Pavel,Kensington and Chelsea,51.49995,-0.21165,Entire home/apt,219,2,3
Spacious Modern 1 Bed Flat Hackney,Emily & Will,Hackney,51.53851,-0.05742,Entire home/apt,71,3,16
"cheap big room for 2, 3  people",Jorge,Lambeth,51.42845,-0.10969,Private room,65,1,0
Gorgeous characterful flat-Olympics,Ella,Brent,51.53463,-0.21928,Private room,120,1,0
"Quirky, modern flat in Brixton",Naomi,Lambeth,51.4564,-0.10792,Entire home/apt,80,4,11
Wonderful Boho Style Flat in Zone 2,Elain,Lambeth,51.46335,-0.0999,Entire home/apt,99,4,47
Penthouse Single Room,Sofia,Newham,51.54418,0.01951,Private room,70,6,0
Double room near Portobello & Maida Vale,Anita,Westminster,51.52395,-0.19797,Private room,49,1,6
Room near Portobello & Paddington,Anita,Westminster,51.52251,-0.19818,Private room,43,1,59
"Next to Hyde Park, London W2",Lee,Westminster,51.51059,-0.18546,Entire home/apt,200,5,11
Outstanding location Kensington,Nava,Kensington and Chelsea,51.50509,-0.19373,Entire home/apt,100,5,236
Entire flat 1 Bed Room - 4+ ppl - City of London,Val,Tower Hamlets,51.51546,-0.07355,Entire home/apt,90,1,46
Well equipped spacious super king bed w/view zone2,Pedro,Hackney,51.56299,-0.04866,Entire home/apt,86,14,44
INEXPENSIVE OWN ROOM. HACKNEY/CITY,Dick And Bob,Hackney,51.53737,-0.06949,Private room,40,1,209
Lovely Double in Islington Near tube. Zone 2,Marie,Islington,51.55262,-0.11528,Private room,44,1,650
Your Place in Little Venice; 15 mins to West End,Joel,Westminster,51.52056,-0.17868,Entire home/apt,450,30,48
"Pretty, quiet flat, near Portobello road",Mary,Kensington and Chelsea,51.51399,-0.20906,Entire home/apt,50,5,5
"central studio, perfect location",Tina,Kensington and Chelsea,51.49326,-0.16409,Entire home/apt,69,2,109
Cosy room in the heart of Notting Hill,Nat & Cla,Kensington and Chelsea,51.50978,-0.2155,Private room,63,3,119
Double bedroom in pleasant location,Doreen,Greenwich,51.43846,0.04284,Private room,55,1,0
SPARE ROOM TO LET DURING OLYMPICS,Atim,Newham,51.53725,0.00185,Private room,59,1,0
A beautiful little flat in Camden,Joseph,Camden,51.54301,-0.13683,Entire home/apt,85,5,127
Just minutes away from the games!,Ronah,Waltham Forest,51.57121,-0.03119,Private room,52,1,0
Lovely Victorian home - trendy area,Simon,Islington,51.55207,-0.10342,Entire home/apt,249,10,4
Excellent Shoreditch apartment - fantastic terrace,Anders & Gabriel,Hackney,51.53832,-0.07626,Entire home/apt,169,3,149
Large Single Room with Balcony,Jackie,Brent,51.5601,-0.28729,Private room,60,1,8
Bfl Lge Dble Bed 5mins frm Olympics,Dominique,Tower Hamlets,51.53607,-0.021,Private room,150,1,0
One Bedroom Garden Flat in Stoke Newington (N16),Henriette,Hackney,51.56069,-0.08235,Entire home/apt,90,3,84
Luxury Apartment in Wembley London,Yardena,Brent,51.56897,-0.25955,Entire home/apt,120,4,33
"Peaceful, comfortable Hackney flat",Caroline,Hackney,51.55346,-0.05543,Private room,30,1,114
BEST LOCATION in Central London,J.O.,Lambeth,51.49913,-0.1149,Entire home/apt,99,4,56
Double Bedroom in the heart of Chelsea,Franc,Kensington and Chelsea,51.48631,-0.16845,Entire home/apt,180,2,10
Comfortable flat close to London fields,Patrick,Hackney,51.5381,-0.05423,Private room,55,3,1
"Modern/Bright Room, Victorian House",Eddie,Hammersmith and Fulham,51.49743,-0.24434,Private room,75,1,107
Your Studio Flat in London-Olympics,Christian,Hammersmith and Fulham,51.50127,-0.22707,Entire home/apt,120,5,0
Luxury En-suite Room in West London,Eddie,Hammersmith and Fulham,51.49846,-0.24519,Private room,115,1,22
Doppelzimmer in Nordlondon,Katja,Haringey,51.58419,-0.10129,Private room,60,1,0
Double Bedroom with River View,Mayank,Tower Hamlets,51.50389,-0.00686,Private room,150,7,0
"Studio FLAT, self contained : Zone 1 in 10 mins!",Sally,Redbridge,51.55728,0.01959,Entire home/apt,69,6,40
Modern stylish child friendly flat in Queens Park,Patrizia,Brent,51.53759,-0.19909,Entire home/apt,90,3,67
"A big bedroom in Walthamstow, nice",Pedro,Waltham Forest,51.58866,-0.00901,Private room,50,1,0
"5* Artist’s Sunny London House, Zone 1 in 10 Mins!",Sally,Waltham Forest,51.55693,0.01939,Private room,46,3,25
Converted warehouse in Shoreditch!,Sam,Tower Hamlets,51.52498,-0.07102,Entire home/apt,180,4,23
LIVING RM with ADJOINING BEDRM,Carla,Southwark,51.46709,-0.07005,Private room,80,3,0
Bright & spacious double room/ bathroom in Fulham,Maria,Hammersmith and Fulham,51.48075,-0.20877,Private room,69,4,29
Wimbledon studio 350 m from Tennis,Zain,Merton,51.43077,-0.21351,Entire home/apt,110,3,43
ZONE 2 FLAT w 3 BEDS & 2 BATH sleeps 7,Indi,Ealing,51.51999,-0.26003,Entire home/apt,120,2,232
Double room in beautiful detached Victorian home,Matthew,Lewisham,51.46175,-0.00882,Private room,33,3,90
Notting Hill beautiful whole apt,Rosie,Kensington and Chelsea,51.51165,-0.20618,Entire home/apt,220,5,7
Sunny Dbl Rm in Limehouse/Stepney,Mo,Tower Hamlets,51.51432,-0.03848,Private room,80,1,0
Beautiful apartment  in Stratford,Ciprian,Newham,51.54192,0.01368,Entire home/apt,166,6,0
Double Bed in vibrant Broadway Mkt Shoreditch,Michele,Tower Hamlets,51.53347,-0.0614,Private room,50,1,58
Loftroom in moden home near Silver Street Station,Cecil,Enfield,51.61756,-0.06672,Private room,40,3,0
"Shoreditch, east London",Saša,Tower Hamlets,51.5297,-0.07298,Private room,95,2,212
Spacious Designer Garden Flat in Hackney,Ali,Hackney,51.54147,-0.05576,Entire home/apt,95,3,92
CENTRAL LONDON ZONE1 EXCLUSIVE USE GREAT VIEWS,Jason,Lambeth,51.48952,-0.11233,Private room,91,10,350
Explore Borough Market from an Urban-Chic Home,David,Southwark,51.50511,-0.0929,Entire home/apt,125,3,60
WHOLE 1 Bed FLAT-Central Location-Bright and Clean,Millie,Islington,51.52543,-0.09353,Private room,91,3,69
Spacious in Dalston/Stoke Newington,Roger,Hackney,51.55449,-0.07653,Private room,45,6,1
"1 bedroom available, kensal rise",Stephen,Brent,51.53279,-0.21883,Private room,150,1,0
Lovely dble room in vibrant E.Ldn,May,Hackney,51.55946,-0.06979,Private room,89,1,0
2 bed split level flat in Stoke Newington,Una,Hackney,51.56051,-0.08439,Entire home/apt,100,2,2
Beautiful Private Room,Chidi Of Samanthajane Ltd,Greenwich,51.47262,0.03785,Private room,150,1,0
Bright Double near Greenwich Park,Annabelle,Greenwich,51.48099,0.00819,Private room,66,2,152
Serene Garden Flat 2 Lounges/Dining,Stella,Hackney,51.56659,-0.09823,Entire home/apt,150,2,6
One/ Two bed-flat in St Johns Wood,Kk,Westminster,51.52852,-0.17842,Entire home/apt,120,3,7
MODERN AND BRIGHT 1 BEDROOM FLAT,Alex,Lewisham,51.43732,-0.04979,Entire home/apt,55,4,11
Tranquil Garden Flat Central London,Stella,Hackney,51.56783,-0.09867,Private room,90,2,10
STAY IN STRATFORD VILLAGE - SUMMER OFFER!,Bally,Newham,51.54106,0.00851,Private room,60,2,21
Stay close to Olympic Village,Femi,Newham,51.54553,-0.00079,Private room,200,1,0
Lovely room in Bethnal Green loft apartment,Carla,Tower Hamlets,51.52823,-0.05827,Private room,40,5,107
Twin room in lovely Victorian house,Matthew,Lewisham,51.46181,-0.00814,Private room,29,3,139
City Centre Flat,Tim,Islington,51.52272,-0.0931,Private room,48,2,2
Spacious bright double bed room,Tonye,Croydon,51.34716,-0.09393,Private room,59,1,0
Spacious and well equipped Loft nr Notting Hill,Vivian,Kensington and Chelsea,51.5227,-0.22432,Private room,44,5,119
Great Sunny Room nr Notting Hill,Vivian,Kensington and Chelsea,51.52069,-0.22509,Private room,39,5,176
Lovely single room in Greenwich,Shazia,Greenwich,51.48284,0.0319,Private room,35,1,30
London in summer! - amazing space !,"Karen, Dermot, Hannah, Tom & Livvy",Southwark,51.45116,-0.06115,Entire home/apt,240,1,0
Studio 10 Bright Belsize Park flat,Emily,Camden,51.54796,-0.16609,Entire home/apt,66,2,197
Double bedroom with ensuite Regents Canal Hackney,Debbie,Hackney,51.53735,-0.07938,Private room,44,20,62
"Great value, zone 1 flat, sleeps 5",Jamie,Lambeth,51.5001,-0.11207,Entire home/apt,126,90,103
Charming Notting Hill Garden Flat,Sally,Westminster,51.51553,-0.19757,Entire home/apt,129,4,101
Great double room 4 mins from tube,Tony,Waltham Forest,51.56735,0.01479,Private room,35,1,6
Great double room 4 mins from tube!,Tony,Waltham Forest,51.56743,0.01309,Private room,32,1,7
Stay close to Olympic Village,Femi,Newham,51.54679,-0.00116,Private room,67,1,0
Flat in Private Historical Building,Barry,Tower Hamlets,51.52077,-0.05003,Entire home/apt,75,3,75
Great Double Rooms In London City,Donovan,Hackney,51.53187,-0.08883,Private room,65,1,397
"Quiet, comfortable haven in London",Janetta,Brent,51.56125,-0.28665,Private room,110,1,93
Stylish Spacious Warehouse Conversion Dalston Mews,Tal & Des,Hackney,51.546,-0.06997,Entire home/apt,120,4,11
Double room in Shoreditch,Debbie,Tower Hamlets,51.52682,-0.07326,Private room,45,1,92
**Lovely Double Room + Wifi**,Hazel,Waltham Forest,51.59552,0.00143,Private room,26,21,30
Beautiful Stoke Newington Home,Jobie,Hackney,51.5581,-0.08628,Entire home/apt,110,7,2
NICE DBLE  ROOM IN N. LONDON HOUSE,Rob,Islington,51.55431,-0.0948,Private room,50,1,19
Stay close to Olympic Village,Femi,Newham,51.54574,-0.00097,Private room,52,1,0
"2 bedrooms,2bathrooms in Paddington",Pavel,Westminster,51.51559,-0.18145,Entire home/apt,243,2,4
"gorgeous, large flat,  stunning views, Central",Uta,Hackney,51.53116,-0.08766,Entire home/apt,66,90,6
"MAYFAIR, LONDON W1 - LUXURIOUS 3 BEDROOM FLAT",Nicholas,Westminster,51.50942,-0.15456,Entire home/apt,595,7,16
WONDERFUL FLAT  IN COVENT GARDEN,Marcus,Camden,51.51334,-0.12649,Entire home/apt,291,3,171
Entire Flat – vibrant Dalston,Eva,Hackney,51.55389,-0.07227,Entire home/apt,68,4,11
Beautiful 1 bedroom flat in London (East Dulwich),Limor,Southwark,51.4452,-0.06474,Entire home/apt,44,4,9
Lovely 3 bedroom house Bloomsbury,Victoria,Camden,51.5247,-0.11577,Entire home/apt,137,7,0
Lovely room in a quiet area,Yeonju,Harrow,51.60789,-0.3713,Private room,49,1,7
Notting hill Portobello Artist Garden Flat,Joanna,Kensington and Chelsea,51.51426,-0.20473,Entire home/apt,236,1,268
"Lovely, bright garden flat",Cindie,Lewisham,51.4558,-0.02266,Entire home/apt,199,3,0
A friendly welcome to London!,Nick,Lambeth,51.42774,-0.1075,Private room,24,2,26
Central London - BIG Double Room,Baxter,Islington,51.5234,-0.10619,Private room,69,1,42
Sunny garden flat in Wimbledon,Christine,Merton,51.43346,-0.22078,Entire home/apt,88,1,8
"Spacious  Double Bedroom,Cental Kingston SW London",Claire,Kingston upon Thames,51.41715,-0.30322,Private room,42,2,57
"Covent Garden for Shopping, Theatre & Food Lovers",Francesco,Camden,51.51436,-0.12431,Entire home/apt,198,7,110
FAMILY HOME - Bakerloo Line.  3 bed,Imogen,Brent,51.53624,-0.22725,Entire home/apt,200,2,1
Cosy retreat in Leyton 4 stops to CITY!,Niamh,Waltham Forest,51.56363,-0.0034,Entire home/apt,75,7,47
Twin Bedded Room in clean house,Jane,Waltham Forest,51.55721,-0.009,Private room,52,1,170
Single Room to let in Clean House,Jane,Waltham Forest,51.5568,-0.00958,Private room,27,1,136
Stylish ensuite room  along peaceful canal,Wendy,Hackney,51.56105,-0.04624,Private room,70,1,42
Garden flat in Georgian Townhouse,Nicholas,Lambeth,51.46814,-0.12023,Entire home/apt,133,3,87
Spacious flat in Georgian Townhouse,Nicholas,Lambeth,51.46887,-0.11875,Entire home/apt,136,3,49
En-suite Twin Room Nr Tube!,Marcus,Harrow,51.59683,-0.33304,Private room,26,2,39
"4 minute walk to Tower Bridge, 2 bedrooms, wifi.",Paul,City of London,51.51331,-0.07387,Entire home/apt,199,2,281
Convenient garden flat North London,Nadine,Barnet,51.62468,-0.16206,Private room,50,1,3
Your friendly place at London Bridge,Nikita,Southwark,51.50174,-0.09204,Private room,55,1,13
"Cockfosters, North London: Deluxe Double Room",Kate,Enfield,51.64561,-0.14412,Hotel room,84,1,10
2 Bed Ideal for Excel /River Views,Paul,Newham,51.50047,0.03172,Entire home/apt,150,2,53
Fantastic Contemporary Home,Vince,Haringey,51.57197,-0.1422,Entire home/apt,636,3,0
Rooms Available in stylish Brixton apartment,Sonya,Lambeth,51.44805,-0.12537,Private room,120,1,12
Close to the Tube - Single room,Clarissa,Wandsworth,51.42573,-0.16696,Private room,40,1,6
Studio flat in quiet Muswell Hill,Lina,Barnet,51.60251,-0.14327,Entire home/apt,43,6,76
*Be Madam Tussaud's Neighbour...*,Michelle,Westminster,51.52093,-0.15227,Entire home/apt,150,1,64
3 Bedroom Flat in Heart of London,Robert,Westminster,51.51225,-0.18758,Entire home/apt,218,3,165
Extra Large Double Bedroom,Kay,Hounslow,51.48611,-0.37368,Private room,95,10,4
SPACIOUS ROOM IN ARTISTIC BUNGALOW,Kay,Hounslow,51.48638,-0.36748,Private room,45,2,12
BEAUTIFUL COSY CHELSEA FLAT,Vicky,Kensington and Chelsea,51.4791,-0.17991,Private room,51,5,81
3 minutes from Kensington Gardens,Peter And Annabel,Westminster,51.51172,-0.18651,Entire home/apt,210,7,0
Veggie Vegan Ensuite Near Brick Lane,Vh,Tower Hamlets,51.5276,-0.06141,Private room,42,2,92
Cosy Double Bedroom in Shoreditch,Oj,Tower Hamlets,51.53213,-0.06387,Private room,40,2,15
Modern Triple Studio  Zone 2 Hammersmith (5),Boris,Hammersmith and Fulham,51.49393,-0.22965,Entire home/apt,60,1,69
Large Bright Zone 2 Double Bed Private WC+Shower,Rob & Emiko,Wandsworth,51.46261,-0.1517,Private room,57,5,269
"Central Luxury in Pimlico, SW1",Darragh,Westminster,51.48607,-0.13671,Entire home/apt,200,3,17
Luxury Apartment in Central London,Jaz,Southwark,51.48992,-0.06024,Private room,89,1,457
Sunny single/zone 2 near Goldsmiths,Whitney,Lewisham,51.47017,-0.03402,Private room,35,2,54
"Cockfosters, North London: Superior Double Room",Kate,Enfield,51.64553,-0.14404,Hotel room,84,1,11
My Flat is near train stations,Allen,Lambeth,51.43559,-0.12159,Entire home/apt,136,1,0
Secret Charlton Greenwich Borough Mews CoachHouse,Pamela,Greenwich,51.48437,0.03026,Private room,37,1,33
Marylebone Near Regents Park,The Team At The London Agent,Westminster,51.52434,-0.16188,Entire home/apt,142,60,0
W2/Nottinghill/Condo/Fab Transport/ensuite Toilet,Lilly,Westminster,51.51518,-0.19108,Private room,79,3,55
stunning apartment in Chelsea (LONG TERM ONLY),Roya,Kensington and Chelsea,51.49739,-0.1733,Entire home/apt,95,360,0
Warm and welcoming room next to the tube in SW19,Adam & Julia,Merton,51.41646,-0.17468,Private room,39,2,118
Gorgeous room in South East London!,Laura,Southwark,51.47182,-0.07694,Private room,20,5,27
Professionally Cleaned Aircon Apartment Earls Ct.,P,Kensington and Chelsea,51.4907,-0.19178,Entire home/apt,181,4,32
London Self Catering Appartment,Nadia,Barnet,51.62018,-0.1524,Entire home/apt,53,7,13
Single/ pull out Double bright room,Steven,Bromley,51.40322,0.11915,Private room,500,1,0
"Über-clean, very-private, double-deluxe, Chiswick",Gordon,Hounslow,51.49357,-0.26394,Private room,54,3,277
Spacious Flat in Central London,Paul,Tower Hamlets,51.52424,-0.06016,Entire home/apt,89,7,26
Stunning Kings X Penthouse with Huge Sun Terrace,Petra,Islington,51.53556,-0.11553,Entire home/apt,204,30,24
Super London Loft En-Suite Bio B&B Eco-Friendly,Gudrun,Haringey,51.60031,-0.12421,Private room,60,2,210
Nearest Yurt in world next to tube!,Katherine,Haringey,51.57726,-0.14456,Private room,89,2,119
Spacious Double Bedroom in Fulham,Debbie,Hammersmith and Fulham,51.47966,-0.22199,Private room,61,1,69
"Double Room by Thames, SW London",Debbie,Hammersmith and Fulham,51.4782,-0.2204,Private room,61,1,94
Double room in trendy Notting Hill,Turid,Kensington and Chelsea,51.50898,-0.19753,Private room,75,3,2
Trendy location close to the river,Shrila,Merton,51.39429,-0.14765,Private room,35,6,1
Stunning Studio in Victoria 3A,Alessandro,Westminster,51.49016,-0.13909,Entire home/apt,106,1,223
Superb Single Room with Bathroom,Param,Hammersmith and Fulham,51.48172,-0.20323,Private room,40,6,68
Large bedroom in a family house,Susie,Lambeth,51.42451,-0.13546,Private room,30,1,38
Double studio in Victoria 4A,Alessandro,Westminster,51.49099,-0.14094,Private room,73,1,250
Double room Camden designer flat,Julia,Camden,51.53623,-0.1436,Private room,80,4,115
London room - 15 mins to Eurostar,Monika,Islington,51.5344,-0.11295,Private room,37,2,128
Rare Penthouse in the West End!,Raj,Westminster,51.51948,-0.13772,Entire home/apt,180,2,5
Spacious 2 bed flat Ealing sleep 7,Stefano & Maria,Brent,51.53144,-0.28779,Entire home/apt,98,5,262
Heathrow Express A calm after storm,Claudia,Ealing,51.53272,-0.39964,Private room,25,2,4
Airport Connections - Heathrow,Claudia,Ealing,51.53309,-0.40175,Private room,32,3,6
A stone throw away - Heathrow Homes,Claudia,Ealing,51.53324,-0.40139,Entire home/apt,100,3,0
Walk along Regent's Canal from a Suave Apartment,Neil,Tower Hamlets,51.51839,-0.03803,Entire home/apt,130,2,147
2 Bed Garden Flat near Tower Bridge,Carolyn,Tower Hamlets,51.50921,-0.06122,Entire home/apt,145,4,156
Brand new studio in Victoria 8A,Alessandro,Westminster,51.49113,-0.14117,Entire home/apt,76,1,333
Large 1 bed garden flat on canal!,Jamie,Tower Hamlets,51.53004,-0.04358,Entire home/apt,50,1,21
Cosy single studio in Victoria 14A,Alessandro,Westminster,51.4901,-0.14071,Private room,56,1,247
Double Studio in Victoria 5A,Alessandro,Westminster,51.48962,-0.13924,Entire home/apt,73,1,302
Come enjoy our hospitality,John,Southwark,51.42277,-0.08,Private room,45,2,105
"Double studio + patio, Victoria 2A",Alessandro,Westminster,51.48952,-0.13894,Entire home/apt,76,1,329
"Stylish, Airy Studio Apartment Close to Clapham High St",Jimmy & Janie,Lambeth,51.46762,-0.12879,Entire home/apt,128,365,126
Cosy Greenwich flat with relaxing woodland view,Rose,Greenwich,51.48323,0.00517,Entire home/apt,75,2,20
"Spacious, luxury Central London flat",Kristina,Westminster,51.51006,-0.18647,Entire home/apt,120,2,5
One bedroom flat in North Acton,Stanley,Ealing,51.52303,-0.26161,Entire home/apt,75,3,54
Gorgeous Georgian Manor house,Nosheen,Redbridge,51.58769,0.02242,Private room,60,4,0
Modern apt. with amazing view,Jens,Tower Hamlets,51.50991,-0.06697,Entire home/apt,149,2,20
Beautiful flat in Art Deco building,Amy,Tower Hamlets,51.52393,-0.04767,Entire home/apt,99,4,1
Brand new studio in Victoria 12A,Alessandro,Westminster,51.49146,-0.13895,Entire home/apt,84,1,306
West End Room in Artist residence  W1 Soho,Carmela,Westminster,51.51487,-0.13503,Private room,120,2,8
Brand new studio in Victoria 11A,Alessandro,Westminster,51.49123,-0.14124,Entire home/apt,76,1,330
West Kensington central London,Zdenka & Luis,Hammersmith and Fulham,51.48794,-0.20358,Private room,33,2,222
Studio with private terrace near Victoria 9A,Alessandro,Westminster,51.48961,-0.13966,Entire home/apt,96,1,252
Lovely Brockley flat w/huge garden,Sebastian & Patricia,Lewisham,51.46913,-0.02779,Entire home/apt,100,2,34
Gorgeous East Dulwich flat (also family friendly),Lorna And Anders,Southwark,51.45414,-0.07921,Entire home/apt,70,5,20
"Luxury home, good location",Rupert,Westminster,51.52434,-0.1975,Entire home/apt,225,10,55
Framery Loft,Grant,Hackney,51.53066,-0.08197,Entire home/apt,299,3,161
Luxury Apartment in Belsize Park,Carol-Anne,Camden,51.55048,-0.16467,Entire home/apt,118,3,43
The Notting Hill Apartment,Alessandra,Westminster,51.51954,-0.19595,Entire home/apt,250,5,28
Bright Cosy Room in a Gorgeous Apartment,Taghi,Brent,51.53618,-0.19955,Private room,30,1,2
"Modern 1 bed flat, Central London",Caroline,Islington,51.55097,-0.11631,Entire home/apt,69,13,122
Clerkenwell Loft-Style St John's Sq,Simon,Islington,51.52365,-0.10321,Private room,65,1,264
Two Bed Chic Flat in London's Trendy Dalston,Anoop,Hackney,51.55,-0.0645,Entire home/apt,86,2,5
Ensuite Studio in Victoria 6A,Alessandro,Westminster,51.48945,-0.14052,Entire home/apt,93,1,256
Brand new studio in Victoria 13A,Alessandro,Westminster,51.49121,-0.14135,Private room,76,1,239
"Cockfosters, North London:  Private en-suit Double",Kate,Enfield,51.6456,-0.14305,Private room,99,1,2
3 Bed 2 Bath Warehouse loft Zone 1,Lee,Lambeth,51.48731,-0.11603,Entire home/apt,351,1,161
"Big room, great flat, fab location!",Ange,Westminster,51.51392,-0.18586,Private room,69,2,135
Large private flat close to central London,Paul And Victoria,Islington,51.55041,-0.08782,Entire home/apt,100,5,225
Central London 1 Bedroom Garden Flat,Zac,Westminster,51.52224,-0.1534,Entire home/apt,125,28,45
Single Cosy Room  + Fast Wifi NO QUARANTINE,Shirley,Haringey,51.59904,-0.08783,Private room,22,3,79
Double Room in Denmark Hill,Francesca,Southwark,51.46656,-0.08615,Private room,20,7,5
Oasis in heart of Notting Hill Gate,Lucinda,Kensington and Chelsea,51.51033,-0.21693,Entire home/apt,135,4,18
